Fecha,Año,Tienda,Categoría,Cantidad,Costo_Unitario,Costo_Total,Precio_Venta_Unitario,Ingreso_Total,Ganancia_Neta
2024-01-13,2024.0,Portal de las Flores,Lirios,12.0,17.07,204.84,28.04,336.48,131.64
2024-01-14,2024.0,Jardín Express,Girasoles,28.0,11.6,324.8,18.24,510.72,185.92
2024-01-15,2024.0,Florería Central,Orquídeas,38.0,37.66,1431.08,61.34,2330.92,899.84
2024-01-15,2024.0,,Girasoles,7.0,12.44,87.08,16.57,115.99,28.91
2024-01-15,2024.0,Jardín Express,Orquídeas,3.0,39.22,117.66,51.83,155.49,37.83
2024-01-15,2024.0,EcoFlores Norte,Tulipanes,43.0,18.22,783.46,25.11,1079.73,296.27
2024-01-15,2024.0,Portal de las Flores,Lirios,47.0,14.83,697.01,20.93,983.71,286.7
2024-01-16,2024.0,EcoFlores Norte,Orquídeas,10.0,52.24,522.4,70.92,709.2,186.8
2024-01-16,2024.0,Florería Central,Girasoles,28.0,15.11,423.08,24.8,694.4,271.32
2024-01-16,2024.0,Florería Central,Tulipanes,,27.68,858.08,36.02,1116.62,258.54
2024-01-17,2024.0,Portal de las Flores,Lirios,21.0,12.84,269.64,20.21,424.41,154.77
2024-01-17,2024.0,Portal de las Flores,Orquídeas,40.0,43.15,1726.0,69.77,2790.8,1064.8
2024-01-17,2024.0,Jardín Express,Girasoles,,15.58,482.98,20.82,645.42,162.44
2024-01-17,2024.0,EcoFlores Norte,Lirios,36.0,20.19,726.84,27.19,978.84,252.0
2024-01-18,2024.0,EcoFlores Norte,Tulipanes,17.0,24.01,408.17,38.84,660.28,252.11
2024-01-18,2024.0,Portal de las Flores,Rosas,46.0,24.04,1105.84,31.26,1437.96,332.12
2024-01-19,2024.0,Portal de las Flores,Rosas,48.0,19.86,953.28,30.31,1454.88,501.6
2024-01-19,2024.0,EcoFlores Norte,Rosas,8.0,19.26,154.08,29.26,234.08,80.0
2024-01-20,2024.0,Florería Central,Rosas,38.0,19.72,749.36,32.58,1238.04,488.68
2024-01-20,2024.0,Portal de las Flores,Girasoles,5.0,12.02,60.1,17.58,87.9,27.8
2024-01-21,2024.0,EcoFlores Norte,Orquídeas,4.0,49.94,199.76,80.58,322.32,122.56
2024-01-21,2024.0,Florería Central,Orquídeas,48.0,52.71,2530.08,86.17,4136.16,1606.08
2024-01-22,2024.0,EcoFlores Norte,Tulipanes,3.0,23.4,70.2,35.84,107.52,37.32
2024-01-22,2024.0,Portal de las Flores,Orquídeas,15.0,46.79,701.85,70.99,1064.85,363.0
2024-01-23,2024.0,Portal de las Flores,Lirios,11.0,19.22,211.42,26.32,289.52,78.1
2024-01-23,2024.0,Portal de las Flores,Girasoles,27.0,14.75,398.25,22.73,613.71,215.46
2024-01-23,2024.0,EcoFlores Norte,Tulipanes,47.0,26.61,1250.67,39.31,1847.57,596.9
2024-01-23,2024.0,Florería Central,Rosas,28.0,19.05,533.4,25.29,708.12,174.72
2024-01-25,2024.0,EcoFlores Norte,Tulipanes,21.0,25.93,544.53,41.45,870.45,325.92
2024-01-25,2024.0,Florería Central,Girasoles,38.0,10.76,408.88,18.29,695.02,286.14
2024-01-25,2024.0,,Lirios,13.0,19.91,258.83,29.5,383.5,124.67
2024-01-25,2024.0,Florería Central,Tulipanes,36.0,26.19,942.84,40.63,1462.68,519.84
2024-01-26,2024.0,Florería Central,Girasoles,16.0,12.37,197.92,17.35,277.6,79.68
2024-01-26,2024.0,Portal de las Flores,Lirios,7.0,15.39,107.73,23.36,163.52,55.79
2024-01-27,2024.0,Jardín Express,Rosas,4.0,16.67,66.68,28.15,112.6,45.92
2024-01-27,2024.0,Portal de las Flores,Rosas,29.0,24.99,724.71,34.24,992.96,268.25
2024-01-28,2024.0,Jardín Express,Lirios,29.0,15.03,435.87,24.24,702.96,267.09
2024-01-28,2024.0,Portal de las Flores,Tulipanes,39.0,26.69,1040.91,34.87,1359.93,319.02
2024-01-28,2024.0,Florería Central,Tulipanes,42.0,28.71,1205.82,48.29,2028.18,822.36
2024-01-28,2024.0,EcoFlores Norte,Lirios,32.0,21.32,682.24,35.68,1141.76,459.52
2024-01-29,2024.0,,Girasoles,20.0,10.32,206.4,14.91,298.2,91.8
2024-01-29,2024.0,Jardín Express,Orquídeas,8.0,41.39,331.12,59.84,478.72,147.6
2024-01-29,2024.0,EcoFlores Norte,Girasoles,3.0,13.75,41.25,22.76,68.28,27.03
2024-01-29,2024.0,EcoFlores Norte,Rosas,28.0,21.18,593.04,33.18,929.04,336.0
2024-01-29,2024.0,Portal de las Flores,Lirios,,14.56,145.6,21.0,210.0,64.4
2024-02-01,2024.0,Portal de las Flores,Orquídeas,,57.05,456.4,96.05,768.4,312.0
2024-02-02,2024.0,,Girasoles,8.0,12.94,103.52,18.6,148.8,45.28
2024-02-02,2024.0,Florería Central,Tulipanes,41.0,23.06,945.46,32.7,1340.7,395.24
2024-02-03,2024.0,Portal de las Flores,Girasoles,34.0,13.69,465.46,23.21,789.14,323.68
2024-02-03,2024.0,Florería Central,Orquídeas,41.0,46.52,1907.32,69.76,2860.16,952.84
2024-02-03,2024.0,Florería Central,Lirios,33.0,21.33,703.89,33.9,1118.7,414.81
2024-02-04,2024.0,,Lirios,14.0,17.15,240.1,24.76,346.64,106.54
2024-02-04,2024.0,Portal de las Flores,Girasoles,13.0,12.41,161.33,18.63,242.19,80.86
2024-02-05,2024.0,Jardín Express,Orquídeas,40.0,55.35,2214.0,85.58,3423.2,1209.2
2024-02-05,2024.0,EcoFlores Norte,Girasoles,41.0,10.42,427.22,16.75,686.75,259.53
2024-02-06,2024.0,EcoFlores Norte,Girasoles,49.0,10.34,506.66,16.5,808.5,301.84
2024-02-06,2024.0,Jardín Express,Rosas,17.0,23.66,402.22,40.04,680.68,278.46
2024-02-06,2024.0,Portal de las Flores,Rosas,28.0,21.97,615.16,35.18,985.04,369.88
2024-02-07,2024.0,Jardín Express,Tulipanes,36.0,22.72,817.92,34.31,1235.16,417.24
2024-02-08,2024.0,Florería Central,Tulipanes,13.0,18.63,242.19,27.57,358.41,116.22
2024-02-08,2024.0,Jardín Express,Girasoles,49.0,15.99,783.51,22.53,1103.97,320.46
2024-02-08,2024.0,Florería Central,Lirios,36.0,16.58,596.88,23.88,859.68,262.8
2024-02-08,2024.0,Jardín Express,Orquídeas,37.0,37.9,1402.3,49.91,1846.67,444.37
2024-02-08,2024.0,EcoFlores Norte,Rosas,24.0,16.39,393.36,25.32,607.68,214.32
2024-02-08,2024.0,Jardín Express,Rosas,31.0,15.78,489.18,23.87,739.97,250.79
2024-02-08,2024.0,Portal de las Flores,Girasoles,35.0,17.51,612.85,25.67,898.45,285.6
2024-02-08,2024.0,Jardín Express,Girasoles,48.0,16.32,783.36,22.8,1094.4,311.04
2024-02-09,2024.0,EcoFlores Norte,Girasoles,17.0,11.55,196.35,17.19,292.23,95.88
2024-02-09,2024.0,EcoFlores Norte,Tulipanes,17.0,18.37,312.29,30.99,526.83,214.54
2024-02-10,2024.0,Jardín Express,Orquídeas,17.0,57.22,972.74,85.46,1452.82,480.08
2024-02-10,2024.0,Florería Central,Orquídeas,34.0,48.17,1637.78,67.36,2290.24,652.46
2024-02-10,2024.0,Portal de las Flores,Tulipanes,15.0,23.81,357.15,35.85,537.75,180.6
2024-02-10,2024.0,Portal de las Flores,Rosas,35.0,20.97,733.95,32.93,1152.55,418.6
2024-02-11,2024.0,Portal de las Flores,Tulipanes,46.0,22.08,1015.68,35.05,1612.3,596.62
2024-02-11,2024.0,EcoFlores Norte,Orquídeas,19.0,56.71,1077.49,82.32,1564.08,486.59
2024-02-11,2024.0,Florería Central,Orquídeas,23.0,44.43,1021.89,72.01,1656.23,634.34
2024-02-11,2024.0,Jardín Express,Girasoles,49.0,11.31,554.19,17.26,845.74,291.55
2024-02-12,2024.0,Florería Central,Tulipanes,11.0,25.14,276.54,36.42,400.62,124.08
2024-02-12,2024.0,Jardín Express,Orquídeas,31.0,55.51,1720.81,90.51,2805.81,1085.0
2024-02-13,2024.0,Florería Central,Lirios,10.0,16.5,165.0,26.44,264.4,99.4
2024-02-15,2024.0,EcoFlores Norte,Orquídeas,35.0,44.9,1571.5,60.76,2126.6,555.1
2024-02-15,2024.0,Florería Central,Lirios,20.0,16.67,333.4,21.9,438.0,104.6
2024-02-16,2024.0,Portal de las Flores,Girasoles,7.0,16.24,113.68,24.78,173.46,59.78
2024-02-16,2024.0,Florería Central,Lirios,18.0,17.94,322.92,23.85,429.3,106.38
2024-02-16,2024.0,Jardín Express,Orquídeas,,51.92,2024.88,68.83,2684.37,659.49
2024-02-16,2024.0,Florería Central,Rosas,6.0,999.0,110.16,31.05,186.3,76.14
2024-02-16,2024.0,EcoFlores Norte,Lirios,45.0,17.85,803.25,24.82,1116.9,313.65
2024-02-16,2024.0,Jardín Express,Girasoles,2.0,13.04,26.08,19.57,39.14,13.06
2024-02-16,2024.0,Florería Central,Orquídeas,4.0,52.72,210.88,72.29,289.16,78.28
2024-02-17,2024.0,Florería Central,Orquídeas,49.0,55.8,2734.2,87.49,4287.01,1552.81
2024-02-17,2024.0,EcoFlores Norte,Rosas,,20.21,485.04,33.52,804.48,319.44
2024-02-18,2024.0,EcoFlores Norte,Rosas,39.0,17.35,676.65,27.08,1056.12,379.47
2024-02-18,2024.0,Jardín Express,Orquídeas,24.0,59.99,1439.76,81.6,1958.4,518.64
2024-02-20,2024.0,Jardín Express,Girasoles,31.0,12.04,373.24,19.35,599.85,226.61
2024-02-20,2024.0,Portal de las Flores,Lirios,24.0,15.41,369.84,25.69,616.56,246.72
2024-02-20,2024.0,Florería Central,Girasoles,18.0,17.42,313.56,23.28,419.04,105.48
2024-02-20,2024.0,Florería Central,Lirios,1000.0,13.19,13190.0,20.43,20430.0,7240.0
2024-02-20,2024.0,EcoFlores Norte,Orquídeas,47.0,40.5,1903.5,54.78,2574.66,671.16
2024-02-22,2024.0,Jardín Express,Girasoles,9.0,16.99,152.91,22.17,199.53,46.62
2024-02-22,2024.0,Jardín Express,Girasoles,37.0,,562.4,21.6,799.2,236.8
2024-02-22,2024.0,Portal de las Flores,Girasoles,15.0,12.83,192.45,21.55,323.25,130.8
2024-02-22,2024.0,Portal de las Flores,Orquídeas,30.0,35.91,1077.3,50.64,1519.2,441.9
2024-02-22,2024.0,Florería Central,Rosas,15.0,21.3,319.5,32.89,493.35,173.85
2024-02-23,2024.0,Jardín Express,Orquídeas,38.0,51.68,1963.84,69.78,2651.64,687.8
2024-02-23,2024.0,Jardín Express,Orquídeas,11.0,59.89,658.79,98.36,1081.96,423.17
2024-02-23,2024.0,Florería Central,Orquídeas,20.0,53.84,1076.8,88.79,1775.8,699.0
2024-02-23,2024.0,Jardín Express,Orquídeas,31.0,51.85,1607.35,72.8,2256.8,649.45
2024-02-23,2024.0,Jardín Express,Lirios,29.0,16.85,488.65,25.13,728.77,240.12
2024-02-24,2024.0,Portal de las Flores,Girasoles,36.0,17.97,646.92,29.12,1048.32,401.4
2024-02-24,2024.0,Florería Central,Orquídeas,40.0,49.81,1992.4,74.37,2974.8,982.4
2024-02-24,2024.0,Florería Central,Tulipanes,38.0,27.24,1035.12,44.25,1681.5,646.38
2024-02-25,2024.0,Portal de las Flores,Lirios,31.0,13.33,413.23,20.73,642.63,229.4
2024-02-25,2024.0,Portal de las Flores,Tulipanes,41.0,23.95,981.95,33.87,1388.67,406.72
2026-12-31,2026.0,Jardín Express,Tulipanes,1.0,18.54,18.54,29.75,29.75,11.21
2024-02-27,2024.0,EcoFlores Norte,Girasoles,15.0,17.28,259.2,25.99,389.85,130.65
2024-02-27,2024.0,Florería Central,Lirios,29.0,16.31,472.99,25.89,750.81,277.82
2024-02-27,2024.0,Jardín Express,Rosas,12.0,16.86,202.32,24.43,293.16,90.84
2024-02-28,2024.0,Portal de las Flores,Rosas,44.0,17.48,769.12,26.63,1171.72,402.6
2024-02-28,2024.0,Jardín Express,Tulipanes,29.0,29.12,844.48,43.49,1261.21,416.73
2024-03-01,2024.0,Florería Central,Orquídeas,28.0,58.14,1627.92,87.28,2443.84,815.92
2024-03-01,2024.0,Jardín Express,Orquídeas,4.0,59.32,237.28,82.37,329.48,92.2
2024-03-01,2024.0,Portal de las Flores,Rosas,12.0,24.84,298.08,40.21,482.52,184.44
2024-03-02,2024.0,Portal de las Flores,Tulipanes,,29.66,830.48,48.75,1365.0,534.52
2024-03-02,2024.0,Florería Central,Rosas,18.0,18.75,337.5,30.4,547.2,209.7
2024-03-02,2024.0,Florería Central,Orquídeas,14.0,58.98,825.72,91.15,1276.1,450.38
2024-03-03,2024.0,Portal de las Flores,Girasoles,29.0,12.76,370.04,18.31,530.99,160.95
2024-03-03,2024.0,Portal de las Flores,Rosas,42.0,,818.58,32.67,1372.14,553.56
2024-03-03,2024.0,Jardín Express,Rosas,13.0,24.06,312.78,32.6,423.8,111.02
2024-03-03,2024.0,Jardín Express,Tulipanes,13.0,20.22,262.86,28.67,372.71,109.85
2024-03-05,2024.0,EcoFlores Norte,Lirios,15.0,14.43,216.45,24.11,361.65,145.2
2024-03-05,2024.0,Jardín Express,Tulipanes,45.0,28.45,1280.25,45.62,2052.9,772.65
2024-03-07,2024.0,Portal de las Flores,Rosas,9.0,20.54,184.86,30.92,278.28,93.42
2024-03-09,2024.0,Florería Central,Rosas,36.0,19.44,699.84,32.2,1159.2,459.36
2024-03-09,2024.0,Jardín Express,Lirios,6.0,18.87,113.22,26.89,161.34,48.12
2024-03-09,2024.0,Florería Central,Girasoles,18.0,14.65,263.7,24.53,441.54,177.84
2024-03-09,2024.0,Portal de las Flores,Lirios,17.0,12.31,209.27,16.26,276.42,67.15
2024-03-09,2024.0,Jardín Express,Girasoles,5.0,15.04,75.2,24.71,123.55,48.35
2024-03-10,2024.0,Portal de las Flores,Orquídeas,14.0,51.12,715.68,71.16,996.24,280.56
2024-03-12,2024.0,Florería Central,Girasoles,28.0,12.04,337.12,15.71,439.88,102.76
2024-03-12,2024.0,Jardín Express,Tulipanes,40.0,26.14,1045.6,39.9,1596.0,550.4
2024-03-13,2024.0,EcoFlores Norte,Lirios,1.0,12.08,12.08,19.38,19.38,7.3
2024-03-13,2024.0,Jardín Express,Tulipanes,15.0,19.94,299.1,29.68,445.2,146.1
2024-03-14,2024.0,EcoFlores Norte,Tulipanes,26.0,26.89,699.14,35.98,935.48,236.34
2024-03-15,2024.0,Portal de las Flores,Lirios,,17.82,855.36,28.26,1356.48,501.12
2024-03-15,2024.0,EcoFlores Norte,Tulipanes,1.0,29.72,29.72,45.11,45.11,15.39
2024-03-15,2024.0,Florería Central,Girasoles,15.0,11.25,168.75,17.7,265.5,96.75
2024-03-15,2024.0,Jardín Express,Rosas,22.0,17.96,395.12,26.65,586.3,191.18
2024-03-15,2024.0,Portal de las Flores,Girasoles,7.0,15.74,110.18,26.71,186.97,76.79
2024-03-16,2024.0,Jardín Express,Girasoles,36.0,17.88,643.68,28.64,1031.04,387.36
2024-03-16,2024.0,Florería Central,Girasoles,40.0,14.8,592.0,24.34,973.6,381.6
2024-03-18,2024.0,Jardín Express,Lirios,42.0,16.88,708.96,27.43,1152.06,443.1
2024-03-18,2024.0,Jardín Express,Rosas,,18.94,378.8,25.61,512.2,133.4
2024-03-18,2024.0,Florería Central,Rosas,1.0,18.54,18.54,26.35,26.35,7.81
2024-03-18,2024.0,Portal de las Flores,Rosas,7.0,19.18,134.26,25.28,176.96,42.7
2024-03-18,2024.0,EcoFlores Norte,Girasoles,36.0,11.4,410.4,16.17,582.12,171.72
2024-03-20,2024.0,,Orquídeas,44.0,45.28,1992.32,66.15,2910.6,918.28
2024-03-21,2024.0,Portal de las Flores,Orquídeas,35.0,51.42,1799.7,73.53,2573.55,773.85
2024-03-21,2024.0,EcoFlores Norte,Tulipanes,38.0,25.87,983.06,36.04,1369.52,386.46
2024-03-21,2024.0,EcoFlores Norte,Tulipanes,43.0,24.79,1065.97,41.23,1772.89,706.92
2024-03-21,2024.0,EcoFlores Norte,Girasoles,47.0,17.99,845.53,30.1,1414.7,569.17
2024-03-22,2024.0,EcoFlores Norte,Girasoles,8.0,12.12,96.96,19.01,152.08,55.12
2024-03-23,2024.0,,Tulipanes,26.0,25.13,653.38,36.8,956.8,303.42
2024-03-24,2024.0,Portal de las Flores,Girasoles,42.0,10.86,456.12,14.19,595.98,139.86
2024-03-25,2024.0,EcoFlores Norte,Girasoles,6.0,12.29,73.74,19.53,117.18,43.44
2024-03-25,2024.0,EcoFlores Norte,Tulipanes,,23.79,475.8,38.33,766.6,290.8
2024-03-26,2024.0,Florería Central,Lirios,34.0,19.76,671.84,28.8,979.2,307.36
2024-03-26,2024.0,EcoFlores Norte,Rosas,48.0,17.97,862.56,28.5,1368.0,505.44
2024-03-26,2024.0,EcoFlores Norte,Tulipanes,39.0,25.43,991.77,36.35,1417.65,425.88
2024-03-26,2024.0,Jardín Express,Rosas,7.0,16.74,117.18,28.21,197.47,80.29
2024-03-27,2024.0,EcoFlores Norte,Rosas,1.0,16.22,16.22,25.19,25.19,8.97
2024-03-28,2024.0,EcoFlores Norte,Orquídeas,24.0,55.47,1331.28,74.96,1799.04,467.76
2024-03-28,2024.0,Portal de las Flores,Lirios,16.0,19.14,306.24,31.57,505.12,198.88
2024-03-29,2024.0,Florería Central,Girasoles,18.0,15.93,286.74,24.17,435.06,148.32
2024-03-29,2024.0,EcoFlores Norte,Lirios,9.0,14.32,128.88,22.68,204.12,75.24
2024-03-29,2024.0,Jardín Express,Girasoles,15.0,11.3,169.5,18.36,275.4,105.9
2024-03-30,2024.0,Portal de las Flores,Girasoles,,16.96,339.2,22.65,453.0,113.8
2024-03-30,2024.0,Jardín Express,Girasoles,9.0,12.5,112.5,20.43,183.87,71.37
2024-03-30,2024.0,Portal de las Flores,Girasoles,38.0,15.24,579.12,21.4,813.2,234.08
2024-03-31,2024.0,Portal de las Flores,Lirios,25.0,12.25,306.25,17.16,429.0,122.75
2024-04-01,2024.0,Portal de las Flores,Orquídeas,15.0,57.52,862.8,84.48,1267.2,404.4
2024-04-01,2024.0,EcoFlores Norte,Rosas,14.0,19.14,267.96,28.66,401.24,133.28
2024-04-02,2024.0,Portal de las Flores,Rosas,24.0,20.25,486.0,29.98,719.52,233.52
2024-04-03,2024.0,Florería Central,Girasoles,49.0,15.82,775.18,24.12,1181.88,406.7
2024-04-04,2024.0,Jardín Express,Tulipanes,33.0,22.72,749.76,35.14,1159.62,409.86
2024-04-04,2024.0,EcoFlores Norte,Rosas,6.0,22.6,135.6,35.91,215.46,79.86
2024-04-04,2024.0,Jardín Express,Orquídeas,49.0,49.29,2415.21,67.72,3318.28,903.07
2024-04-04,2024.0,Portal de las Flores,Girasoles,,17.13,256.95,22.36,335.4,78.45
2024-04-05,2024.0,Jardín Express,Rosas,13.0,18.92,245.96,31.37,407.81,161.85
2024-04-05,2024.0,Florería Central,Lirios,14.0,19.8,277.2,29.51,413.14,135.94
2024-04-05,2024.0,Florería Central,Orquídeas,31.0,47.65,1477.15,70.32,2179.92,702.77
2024-04-05,2024.0,EcoFlores Norte,Lirios,32.0,19.89,636.48,27.72,887.04,250.56
2024-04-06,2024.0,Portal de las Flores,Orquídeas,25.0,56.33,1408.25,84.46,2111.5,703.25
2024-04-07,2024.0,Portal de las Flores,Tulipanes,30.0,28.91,867.3,39.82,1194.6,327.3
2024-04-07,2024.0,Jardín Express,Tulipanes,28.0,29.22,818.16,40.92,1145.76,327.6
2024-04-07,2024.0,EcoFlores Norte,Tulipanes,37.0,25.46,942.02,38.6,1428.2,486.18
2024-04-08,2024.0,Florería Central,Girasoles,24.0,13.53,324.72,20.87,500.88,176.16
2024-04-08,2024.0,EcoFlores Norte,Tulipanes,5.0,20.1,100.5,31.68,158.4,57.9
2024-04-08,2024.0,Florería Central,Tulipanes,48.0,29.34,1408.32,46.32,2223.36,815.04
2024-04-08,2024.0,Jardín Express,Tulipanes,10.0,18.99,189.9,31.64,316.4,126.5
2024-04-08,2024.0,EcoFlores Norte,Rosas,46.0,23.88,1098.48,34.15,1570.9,472.42
2024-04-08,2024.0,Portal de las Flores,Rosas,8.0,15.37,122.96,20.65,165.2,42.24
2024-04-08,2024.0,Jardín Express,Orquídeas,42.0,,2303.7,85.77,3602.34,1298.64
2024-04-08,2024.0,EcoFlores Norte,Rosas,19.0,23.73,450.87,31.92,606.48,155.61
2024-04-08,2024.0,Portal de las Flores,Orquídeas,41.0,41.97,1720.77,58.1,2382.1,661.33
2024-04-09,2024.0,Portal de las Flores,Girasoles,,,389.7,21.79,653.7,264.0
2024-04-09,2024.0,EcoFlores Norte,Orquídeas,15.0,58.3,874.5,78.18,1172.7,298.2
2024-04-11,2024.0,Portal de las Flores,Girasoles,1.0,16.55,16.55,22.65,22.65,6.1
2024-04-12,2024.0,EcoFlores Norte,Lirios,25.0,19.0,475.0,30.56,764.0,289.0
2024-04-12,2024.0,EcoFlores Norte,Rosas,11.0,22.93,252.23,37.64,414.04,161.81
2024-04-12,2024.0,Florería Central,Rosas,11.0,15.87,174.57,23.22,255.42,80.85
2024-04-13,2024.0,,Tulipanes,41.0,22.08,905.28,37.01,1517.41,612.13
2024-04-13,2024.0,Portal de las Flores,Orquídeas,24.0,50.02,1200.48,79.9,1917.6,717.12
2024-04-13,2024.0,EcoFlores Norte,Lirios,34.0,20.21,687.14,26.33,895.22,208.08
2024-04-14,2024.0,Florería Central,Tulipanes,42.0,23.33,979.86,35.04,1471.68,491.82
2024-04-15,2024.0,EcoFlores Norte,Tulipanes,1.0,18.5,18.5,26.74,26.74,8.24
2024-04-15,2024.0,EcoFlores Norte,Girasoles,24.0,16.11,386.64,26.45,634.8,248.16
2024-04-15,2024.0,Florería Central,Girasoles,38.0,15.57,591.66,24.76,940.88,349.22
2024-04-15,2024.0,Florería Central,Lirios,49.0,19.05,933.45,28.17,1380.33,446.88
2024-04-16,2024.0,Portal de las Flores,Orquídeas,38.0,45.27,1720.26,70.24,2669.12,948.86
2024-04-16,2024.0,Jardín Express,Lirios,33.0,12.91,426.03,20.01,660.33,234.3
2024-04-16,2024.0,EcoFlores Norte,Tulipanes,45.0,23.77,1069.65,36.53,1643.85,574.2
2024-04-17,2024.0,EcoFlores Norte,Orquídeas,12.0,42.71,512.52,70.38,844.56,332.04
2024-04-17,2024.0,EcoFlores Norte,Rosas,17.0,23.01,391.17,33.38,567.46,176.29
2024-04-18,2024.0,Portal de las Flores,Lirios,19.0,17.81,338.39,30.21,573.99,235.6
2024-04-18,2024.0,Jardín Express,Orquídeas,40.0,55.1,2204.0,82.85,3314.0,1110.0
2024-04-18,2024.0,Jardín Express,Tulipanes,1.0,20.78,20.78,32.88,32.88,12.1
2024-04-20,2024.0,EcoFlores Norte,Tulipanes,49.0,24.04,1177.96,31.91,1563.59,385.63
2024-04-20,2024.0,Portal de las Flores,Tulipanes,,26.87,349.31,42.31,550.03,200.72
2024-04-20,2024.0,EcoFlores Norte,Rosas,42.0,16.11,676.62,21.17,889.14,212.52
2024-04-21,2024.0,EcoFlores Norte,Girasoles,42.0,17.77,746.34,25.46,1069.32,322.98
2024-04-22,2024.0,EcoFlores Norte,Lirios,30.0,21.82,654.6,30.2,906.0,251.4
2024-04-22,2024.0,Portal de las Flores,Girasoles,3.0,13.94,41.82,22.03,66.09,24.27
2024-04-22,2024.0,Jardín Express,Girasoles,6.0,17.93,107.58,28.67,172.02,64.44
2024-04-22,2024.0,Jardín Express,Tulipanes,34.0,19.5,663.0,28.33,963.22,300.22
2024-04-22,2024.0,Florería Central,Tulipanes,20.0,,438.4,29.8,596.0,157.6
2024-04-22,2024.0,EcoFlores Norte,Rosas,44.0,23.83,1048.52,40.02,1760.88,712.36
2024-04-23,2024.0,EcoFlores Norte,Tulipanes,6.0,22.31,133.86,34.64,207.84,73.98
2024-04-24,2024.0,Jardín Express,Orquídeas,42.0,48.39,2032.38,69.81,2932.02,899.64
2024-04-24,2024.0,Florería Central,Tulipanes,37.0,27.58,1020.46,43.66,1615.42,594.96
2024-04-25,2024.0,Florería Central,Tulipanes,40.0,21.54,861.6,28.13,1125.2,263.6
2024-04-26,2024.0,Florería Central,Tulipanes,29.0,24.77,718.33,35.75,1036.75,318.42
2024-04-26,2024.0,Portal de las Flores,Lirios,18.0,20.34,366.12,26.9,484.2,118.08
