Fecha,Año,Tienda,Categoría,Cantidad,Costo_Unitario,Costo_Total,Precio_Venta_Unitario,Ingreso_Total,Ganancia_Neta,Cluster_Venta
2024-02-28,2024.0,Portal de las Flores,Rosas,30.0,15.77,473.1,23.27,698.1,225.0,0
2025-05-25,2025.0,Florería Central,Orquídeas,23.0,51.45,1183.35,72.05,1657.15,473.8,2
2025-11-12,2025.0,Portal de las Flores,Tulipanes,13.0,26.31,342.03,34.74,451.62,109.59,1
2025-04-20,2025.0,EcoFlores Norte,Rosas,24.0,15.47,371.28,27.35,656.4,285.12,0
2025-11-30,2025.0,Jardín Express,Girasoles,10.0,13.16,131.6,23.26,232.6,101.0,0
2024-07-08,2024.0,EcoFlores Norte,Lirios,15.0,18.61,279.15,24.94,374.1,94.95,1
2025-11-17,2025.0,EcoFlores Norte,Girasoles,23.0,14.41,331.43,24.38,560.74,229.31,1
2025-07-16,2025.0,Jardín Express,Girasoles,13.0,12.24,159.12,16.28,211.64,52.52,0
2025-07-20,2025.0,Jardín Express,Girasoles,8.0,13.91,111.28,22.37,178.96,67.68,0
2024-08-31,2024.0,Jardín Express,Lirios,4.0,18.48,73.92,30.11,120.44,46.52,1
2025-05-19,2025.0,Jardín Express,Rosas,6.0,15.41,92.46,25.07,150.42,57.96,0
2024-05-10,2024.0,Florería Central,Lirios,35.0,15.47,541.45,25.37,887.95,346.5,1
2025-04-29,2025.0,Florería Central,Orquídeas,35.0,41.0,1435.0,70.53,2468.55,1033.55,2
2025-10-08,2025.0,Florería Central,Orquídeas,42.0,43.99,1847.58,64.8,2721.6,874.02,2
2024-01-21,2024.0,EcoFlores Norte,Lirios,22.0,17.02,374.44,26.75,588.5,214.06,1
2024-06-15,2024.0,Jardín Express,Girasoles,13.0,13.94,181.22,24.21,314.73,133.51,0
2024-09-30,2024.0,Portal de las Flores,Orquídeas,17.0,43.94,746.98,63.2,1074.4,327.42,2
2025-01-22,2025.0,Jardín Express,Rosas,4.0,17.82,71.28,30.61,122.44,51.16,0
2025-08-23,2025.0,Florería Central,Rosas,22.0,19.17,421.74,33.63,739.86,318.12,0
2024-11-11,2024.0,Jardín Express,Girasoles,8.0,13.63,109.04,18.19,145.52,36.48,0
2024-01-14,2024.0,Florería Central,Tulipanes,16.0,26.67,426.72,40.61,649.76,223.04,1
2024-08-29,2024.0,EcoFlores Norte,Girasoles,14.0,14.64,204.96,21.32,298.48,93.52,1
2024-12-11,2024.0,EcoFlores Norte,Tulipanes,19.0,25.13,477.47,36.76,698.44,220.97,1
2025-07-18,2025.0,EcoFlores Norte,Girasoles,10.0,12.89,128.9,22.45,224.5,95.6,1
2024-12-05,2024.0,Portal de las Flores,Tulipanes,16.0,23.63,378.08,38.63,618.08,240.0,1
2024-04-01,2024.0,Florería Central,Orquídeas,40.0,47.79,1911.6,66.12,2644.8,733.2,2
2025-01-01,2025.0,EcoFlores Norte,Tulipanes,11.0,24.76,272.36,36.6,402.6,130.24,1
2025-03-30,2025.0,EcoFlores Norte,Tulipanes,19.0,24.61,467.59,42.68,810.92,343.33,1
2025-03-03,2025.0,EcoFlores Norte,Tulipanes,20.0,20.65,413.0,37.03,740.6,327.6,1
2025-05-23,2025.0,Florería Central,Orquídeas,33.0,50.86,1678.38,74.16,2447.28,768.9,2
2024-02-04,2024.0,Florería Central,Orquídeas,26.0,47.54,1236.04,71.25,1852.5,616.46,2
2024-07-24,2024.0,Portal de las Flores,Girasoles,25.0,13.81,345.25,21.51,537.75,192.5,1
2024-03-21,2024.0,Portal de las Flores,Orquídeas,22.0,45.44,999.68,61.93,1362.46,362.78,2
2025-07-15,2025.0,Portal de las Flores,Lirios,15.0,15.41,231.15,25.66,384.9,153.75,1
2025-01-22,2025.0,Florería Central,Orquídeas,39.0,49.97,1948.83,69.39,2706.21,757.38,2
2024-01-02,2024.0,Portal de las Flores,Rosas,19.0,18.64,354.16,32.33,614.27,260.11,0
2025-01-24,2025.0,EcoFlores Norte,Lirios,28.0,15.03,420.84,25.52,714.56,293.72,1
2025-07-19,2025.0,EcoFlores Norte,Orquídeas,21.0,43.57,914.97,70.83,1487.43,572.46,2
2024-04-15,2024.0,Portal de las Flores,Orquídeas,13.0,40.4,525.2,64.74,841.62,316.42,2
2025-04-21,2025.0,Jardín Express,Lirios,11.0,18.44,202.84,29.2,321.2,118.36,1
2025-12-03,2025.0,Florería Central,Rosas,32.0,18.81,601.92,31.65,1012.8,410.88,0
2025-02-05,2025.0,EcoFlores Norte,Orquídeas,20.0,49.02,980.4,74.4,1488.0,507.6,2
2025-12-30,2025.0,Jardín Express,Rosas,10.0,16.9,169.0,27.45,274.5,105.5,0
2025-07-09,2025.0,Florería Central,Girasoles,24.0,14.82,355.68,22.15,531.6,175.92,1
2024-06-10,2024.0,Florería Central,Orquídeas,21.0,45.62,958.02,69.44,1458.24,500.22,2
2024-07-20,2024.0,Portal de las Flores,Tulipanes,12.0,25.03,300.36,42.04,504.48,204.12,1
2024-09-26,2024.0,Florería Central,Girasoles,37.0,15.53,574.61,24.22,896.14,321.53,1
2024-09-27,2024.0,Portal de las Flores,Orquídeas,11.0,46.08,506.88,72.2,794.2,287.32,2
2025-03-31,2025.0,Jardín Express,Rosas,3.0,18.27,54.81,30.57,91.71,36.9,0
2025-04-06,2025.0,EcoFlores Norte,Lirios,16.0,19.18,306.88,25.51,408.16,101.28,1
2025-12-27,2025.0,Florería Central,Orquídeas,38.0,40.88,1553.44,56.54,2148.52,595.08,2
2024-09-08,2024.0,EcoFlores Norte,Tulipanes,13.0,26.18,340.34,41.09,534.17,193.83,1
2025-12-02,2025.0,EcoFlores Norte,Rosas,12.0,19.18,230.16,28.77,345.24,115.08,0
2024-10-22,2024.0,Florería Central,Orquídeas,33.0,47.45,1565.85,65.99,2177.67,611.82,2
2025-12-25,2025.0,Florería Central,Tulipanes,33.0,22.53,743.49,38.23,1261.59,518.1,1
2025-12-20,2025.0,Florería Central,Tulipanes,34.0,26.2,890.8,41.27,1403.18,512.38,1
2024-12-03,2024.0,EcoFlores Norte,Tulipanes,20.0,21.21,424.2,27.6,552.0,127.8,1
2024-02-22,2024.0,Portal de las Flores,Lirios,18.0,15.53,279.54,24.93,448.74,169.2,1
2024-08-04,2024.0,Portal de las Flores,Rosas,22.0,19.84,436.48,34.72,763.84,327.36,0
2024-07-06,2024.0,EcoFlores Norte,Girasoles,13.0,14.97,194.61,25.83,335.79,141.18,1
2025-01-14,2025.0,Jardín Express,Girasoles,4.0,12.3,49.2,19.83,79.32,30.12,0
2025-05-07,2025.0,Florería Central,Orquídeas,31.0,49.99,1549.69,76.81,2381.11,831.42,2
2024-02-10,2024.0,Florería Central,Rosas,30.0,15.43,462.9,25.01,750.3,287.4,0
2024-06-05,2024.0,EcoFlores Norte,Tulipanes,11.0,24.95,274.45,33.16,364.76,90.31,1
2024-01-15,2024.0,Florería Central,Lirios,41.0,15.15,621.15,24.96,1023.36,402.21,1
2024-03-05,2024.0,Jardín Express,Tulipanes,13.0,20.51,266.63,30.16,392.08,125.45,1
2025-06-04,2025.0,Portal de las Flores,Girasoles,17.0,14.43,245.31,21.19,360.23,114.92,1
2024-12-09,2024.0,EcoFlores Norte,Tulipanes,12.0,22.96,275.52,30.64,367.68,92.16,1
2024-05-08,2024.0,Florería Central,Orquídeas,29.0,47.29,1371.41,63.13,1830.77,459.36,2
2025-10-09,2025.0,EcoFlores Norte,Tulipanes,19.0,24.24,460.56,35.44,673.36,212.8,1
2025-04-16,2025.0,Jardín Express,Rosas,10.0,15.58,155.8,23.2,232.0,76.2,0
2024-03-03,2024.0,Portal de las Flores,Rosas,19.0,17.1,324.9,27.19,516.61,191.71,0
2024-05-18,2024.0,Portal de las Flores,Orquídeas,20.0,51.23,1024.6,82.86,1657.2,632.6,2
2025-05-13,2025.0,Jardín Express,Rosas,5.0,17.73,88.65,29.75,148.75,60.1,0
2025-08-15,2025.0,Florería Central,Girasoles,35.0,16.02,560.7,24.63,862.05,301.35,1
2025-01-26,2025.0,Portal de las Flores,Lirios,15.0,17.87,268.05,24.06,360.9,92.85,1
2025-11-05,2025.0,Portal de las Flores,Tulipanes,24.0,26.07,625.68,45.16,1083.84,458.16,1
2025-02-22,2025.0,Florería Central,Orquídeas,40.0,38.74,1549.6,56.23,2249.2,699.6,2
2024-10-15,2024.0,Portal de las Flores,Lirios,25.0,16.29,407.25,21.89,547.25,140.0,1
2025-01-13,2025.0,Jardín Express,Rosas,11.0,16.81,184.91,29.77,327.47,142.56,0
2025-05-04,2025.0,Portal de las Flores,Girasoles,20.0,15.2,304.0,24.13,482.6,178.6,1
2024-08-18,2024.0,EcoFlores Norte,Lirios,18.0,16.39,295.02,28.5,513.0,217.98,1
2024-02-10,2024.0,Portal de las Flores,Girasoles,19.0,15.22,289.18,22.1,419.9,130.72,1
2024-01-28,2024.0,Florería Central,Girasoles,40.0,14.32,572.8,22.05,882.0,309.2,1
2024-05-14,2024.0,Florería Central,Lirios,35.0,16.93,592.55,27.14,949.9,357.35,1
2024-07-19,2024.0,Portal de las Flores,Lirios,21.0,18.66,391.86,30.47,639.87,248.01,1
2024-02-02,2024.0,Portal de las Flores,Lirios,19.0,14.58,277.02,19.94,378.86,101.84,1
2024-02-17,2024.0,EcoFlores Norte,Rosas,15.0,18.51,277.65,32.73,490.95,213.3,0
2025-05-17,2025.0,EcoFlores Norte,Tulipanes,19.0,21.16,402.04,34.29,651.51,249.47,1
2025-02-10,2025.0,Florería Central,Rosas,21.0,17.39,365.19,27.51,577.71,212.52,0
2025-07-27,2025.0,Portal de las Flores,Tulipanes,27.0,21.92,591.84,33.81,912.87,321.03,1
2025-12-28,2025.0,Portal de las Flores,Lirios,11.0,16.64,183.04,23.05,253.55,70.51,1
2024-04-08,2024.0,Florería Central,Rosas,42.0,16.94,711.48,22.88,960.96,249.48,0
2025-11-14,2025.0,EcoFlores Norte,Orquídeas,25.0,41.34,1033.5,58.55,1463.75,430.25,2
2025-12-26,2025.0,EcoFlores Norte,Tulipanes,24.0,24.89,597.36,38.92,934.08,336.72,1
2025-06-30,2025.0,Jardín Express,Girasoles,6.0,14.65,87.9,21.64,129.84,41.94,0
2025-04-06,2025.0,Portal de las Flores,Lirios,19.0,16.9,321.1,22.13,420.47,99.37,1
2025-10-04,2025.0,Jardín Express,Girasoles,7.0,14.76,103.32,20.59,144.13,40.81,0
2024-01-05,2024.0,Florería Central,Tulipanes,34.0,21.19,720.46,33.35,1133.9,413.44,1
2024-08-05,2024.0,Jardín Express,Tulipanes,9.0,22.32,200.88,30.68,276.12,75.24,1
2025-05-17,2025.0,Portal de las Flores,Orquídeas,17.0,47.05,799.85,80.24,1364.08,564.23,2
2025-02-01,2025.0,Florería Central,Girasoles,39.0,13.83,539.37,23.41,912.99,373.62,1
2025-01-27,2025.0,Florería Central,Rosas,37.0,20.39,754.43,34.75,1285.75,531.32,0
2024-07-25,2024.0,EcoFlores Norte,Tulipanes,14.0,26.45,370.3,34.89,488.46,118.16,1
2024-01-15,2024.0,EcoFlores Norte,Lirios,17.0,16.42,279.14,25.04,425.68,146.54,1
2025-07-07,2025.0,Florería Central,Orquídeas,45.0,39.15,1761.75,61.04,2746.8,985.05,2
2025-04-05,2025.0,Jardín Express,Rosas,7.0,15.56,108.92,20.52,143.64,34.72,0
2025-11-21,2025.0,Jardín Express,Girasoles,8.0,12.2,97.6,16.29,130.32,32.72,0
2025-07-28,2025.0,EcoFlores Norte,Rosas,5.0,17.79,88.95,31.95,159.75,70.8,0
2024-08-28,2024.0,EcoFlores Norte,Lirios,18.0,17.82,320.76,24.82,446.76,126.0,1
2025-07-17,2025.0,Jardín Express,Tulipanes,11.0,20.89,229.79,31.59,347.49,117.7,1
2024-04-05,2024.0,Jardín Express,Rosas,8.0,20.53,164.24,29.72,237.76,73.52,0
2025-04-29,2025.0,EcoFlores Norte,Tulipanes,16.0,27.31,436.96,42.03,672.48,235.52,1
2024-08-18,2024.0,EcoFlores Norte,Rosas,22.0,18.11,398.42,29.13,640.86,242.44,0
2025-10-16,2025.0,Portal de las Flores,Girasoles,19.0,12.08,229.52,16.37,311.03,81.51,1
2024-06-19,2024.0,Portal de las Flores,Rosas,13.0,17.67,229.71,28.39,369.07,139.36,0
2025-06-24,2025.0,Portal de las Flores,Orquídeas,8.0,41.5,332.0,56.47,451.76,119.76,2
2024-02-05,2024.0,EcoFlores Norte,Tulipanes,11.0,26.73,294.03,38.2,420.2,126.17,1
2025-06-08,2025.0,Jardín Express,Rosas,11.0,19.38,213.18,29.66,326.26,113.08,0
2024-06-08,2024.0,EcoFlores Norte,Lirios,11.0,14.72,161.92,21.49,236.39,74.47,1
2025-11-29,2025.0,Portal de las Flores,Girasoles,21.0,13.03,273.63,20.45,429.45,155.82,1
2024-08-30,2024.0,Florería Central,Tulipanes,38.0,26.29,999.02,36.98,1405.24,406.22,1
2024-03-26,2024.0,Jardín Express,Rosas,6.0,17.15,102.9,25.84,155.04,52.14,0
2025-07-31,2025.0,Florería Central,Orquídeas,19.0,45.88,871.72,75.45,1433.55,561.83,2
2025-11-12,2025.0,Jardín Express,Girasoles,8.0,15.58,124.64,23.63,189.04,64.4,0
2025-07-10,2025.0,EcoFlores Norte,Tulipanes,16.0,26.16,418.56,36.68,586.88,168.32,1
2025-07-27,2025.0,Portal de las Flores,Lirios,14.0,18.19,254.66,29.25,409.5,154.84,1
2025-10-07,2025.0,Jardín Express,Girasoles,10.0,14.1,141.0,24.31,243.1,102.1,0
2024-01-28,2024.0,Portal de las Flores,Orquídeas,6.0,48.32,289.92,67.71,406.26,116.34,2
2025-09-11,2025.0,Portal de las Flores,Lirios,11.0,15.21,167.31,22.1,243.1,75.79,1
2025-07-09,2025.0,EcoFlores Norte,Tulipanes,12.0,21.3,255.6,31.79,381.48,125.88,1
2024-12-05,2024.0,EcoFlores Norte,Lirios,19.0,16.45,312.55,24.78,470.82,158.27,1
2024-11-26,2024.0,EcoFlores Norte,Rosas,22.0,15.46,340.12,21.39,470.58,130.46,0
2025-10-01,2025.0,EcoFlores Norte,Lirios,18.0,16.9,304.2,27.4,493.2,189.0,1
2025-05-20,2025.0,EcoFlores Norte,Rosas,13.0,16.52,214.76,27.28,354.64,139.88,0
2024-12-13,2024.0,EcoFlores Norte,Girasoles,23.0,13.03,299.69,22.31,513.13,213.44,1
2025-04-17,2025.0,Florería Central,Orquídeas,39.0,40.26,1570.14,66.34,2587.26,1017.12,2
2024-08-18,2024.0,EcoFlores Norte,Lirios,22.0,17.09,375.98,25.98,571.56,195.58,1
2024-07-08,2024.0,EcoFlores Norte,Rosas,21.0,19.27,404.67,27.32,573.72,169.05,0
2024-08-12,2024.0,Jardín Express,Rosas,12.0,20.69,248.28,36.55,438.6,190.32,0
2025-01-19,2025.0,Florería Central,Tulipanes,40.0,24.99,999.6,38.69,1547.6,548.0,1
2024-10-09,2024.0,EcoFlores Norte,Tulipanes,16.0,24.47,391.52,43.8,700.8,309.28,1
2025-09-24,2025.0,Jardín Express,Rosas,8.0,16.91,135.28,29.94,239.52,104.24,0
2025-09-19,2025.0,Portal de las Flores,Girasoles,9.0,13.7,123.3,23.79,214.11,90.81,1
2024-09-15,2024.0,Florería Central,Orquídeas,13.0,50.9,661.7,84.14,1093.82,432.12,2
2025-03-31,2025.0,EcoFlores Norte,Tulipanes,21.0,27.04,567.84,41.53,872.13,304.29,1
2025-02-14,2025.0,Florería Central,Rosas,34.0,16.71,568.14,23.79,808.86,240.72,0
2025-10-10,2025.0,EcoFlores Norte,Lirios,16.0,19.42,310.72,28.85,461.6,150.88,1
2024-11-13,2024.0,Jardín Express,Tulipanes,6.0,20.85,125.1,36.55,219.3,94.2,1
2025-11-07,2025.0,Florería Central,Girasoles,34.0,13.22,449.48,22.29,757.86,308.38,1
2024-08-12,2024.0,Portal de las Flores,Tulipanes,22.0,21.32,469.04,37.12,816.64,347.6,1
2024-08-21,2024.0,Florería Central,Rosas,48.0,17.56,842.88,25.11,1205.28,362.4,0
2025-11-14,2025.0,Florería Central,Orquídeas,28.0,42.82,1198.96,62.28,1743.84,544.88,2
2025-10-25,2025.0,Florería Central,Orquídeas,39.0,42.97,1675.83,58.31,2274.09,598.26,2
2025-01-08,2025.0,Portal de las Flores,Lirios,15.0,18.79,281.85,29.7,445.5,163.65,1
2025-11-02,2025.0,Florería Central,Lirios,28.0,15.61,437.08,23.45,656.6,219.52,1
2025-08-30,2025.0,Jardín Express,Rosas,9.0,15.74,141.66,24.07,216.63,74.97,0
2025-04-16,2025.0,Florería Central,Orquídeas,49.0,40.15,1967.35,65.53,3210.97,1243.62,2
2024-08-20,2024.0,Florería Central,Orquídeas,16.0,47.04,752.64,73.98,1183.68,431.04,2
2025-11-22,2025.0,EcoFlores Norte,Lirios,12.0,15.02,180.24,22.2,266.4,86.16,1
2024-04-22,2024.0,Jardín Express,Rosas,6.0,16.7,100.2,23.09,138.54,38.34,0
2025-05-11,2025.0,Jardín Express,Girasoles,9.0,15.07,135.63,19.73,177.57,41.94,0
2025-03-17,2025.0,EcoFlores Norte,Lirios,16.0,19.47,311.52,32.83,525.28,213.76,1
2025-07-17,2025.0,Jardín Express,Girasoles,3.0,12.3,36.9,18.1,54.3,17.4,0
2024-09-24,2024.0,EcoFlores Norte,Tulipanes,13.0,25.13,326.69,43.0,559.0,232.31,1
2025-05-24,2025.0,Portal de las Flores,Girasoles,19.0,15.16,288.04,27.02,513.38,225.34,1
2025-01-20,2025.0,EcoFlores Norte,Rosas,16.0,19.39,310.24,27.89,446.24,136.0,0
2025-01-21,2025.0,EcoFlores Norte,Lirios,14.0,16.47,230.58,28.95,405.3,174.72,1
2024-04-22,2024.0,EcoFlores Norte,Tulipanes,28.0,21.6,604.8,34.71,971.88,367.08,1
2025-09-04,2025.0,Florería Central,Lirios,20.0,15.86,317.2,28.42,568.4,251.2,1
2025-09-16,2025.0,Florería Central,Orquídeas,34.0,48.14,1636.76,82.33,2799.22,1162.46,2
2024-03-21,2024.0,Florería Central,Orquídeas,32.0,46.56,1489.92,62.47,1999.04,509.12,2
2025-11-29,2025.0,EcoFlores Norte,Rosas,13.0,20.64,268.32,31.84,413.92,145.6,0
2024-04-22,2024.0,Florería Central,Orquídeas,44.0,46.82,2060.08,64.75,2849.0,788.92,2
2024-01-02,2024.0,Portal de las Flores,Tulipanes,12.0,20.49,245.88,32.37,388.44,142.56,1
2025-10-03,2025.0,Florería Central,Rosas,32.0,19.74,631.68,27.73,887.36,255.68,0
2024-08-07,2024.0,Portal de las Flores,Lirios,22.0,15.01,330.22,25.21,554.62,224.4,1
2025-07-19,2025.0,Florería Central,Orquídeas,33.0,49.34,1628.22,75.47,2490.51,862.29,2
2024-08-12,2024.0,Florería Central,Tulipanes,36.0,24.18,870.48,34.39,1238.04,367.56,1
2025-01-19,2025.0,EcoFlores Norte,Lirios,18.0,14.96,269.28,21.24,382.32,113.04,1
2025-02-06,2025.0,EcoFlores Norte,Lirios,14.0,17.58,246.12,26.68,373.52,127.4,1
2025-09-29,2025.0,EcoFlores Norte,Tulipanes,21.0,26.46,555.66,40.63,853.23,297.57,1
2024-05-09,2024.0,Jardín Express,Rosas,7.0,15.32,107.24,25.14,175.98,68.74,0
2024-02-22,2024.0,Portal de las Flores,Rosas,15.0,18.84,282.6,33.83,507.45,224.85,0
2025-11-14,2025.0,Jardín Express,Rosas,12.0,18.07,216.84,26.25,315.0,98.16,0
2025-12-30,2025.0,Jardín Express,Rosas,11.0,19.42,213.62,29.21,321.31,107.69,0
2025-11-02,2025.0,EcoFlores Norte,Lirios,19.0,18.47,350.93,30.15,572.85,221.92,1
2025-12-10,2025.0,Portal de las Flores,Girasoles,22.0,15.71,345.62,25.69,565.18,219.56,1
2025-02-19,2025.0,Jardín Express,Rosas,3.0,16.52,49.56,24.63,73.89,24.33,0
2024-09-03,2024.0,Portal de las Flores,Girasoles,11.0,13.63,149.93,23.19,255.09,105.16,1
2025-03-14,2025.0,Jardín Express,Tulipanes,7.0,26.58,186.06,38.44,269.08,83.02,1
2024-07-21,2024.0,Jardín Express,Girasoles,9.0,14.84,133.56,25.52,229.68,96.12,0
2024-07-02,2024.0,Florería Central,Lirios,27.0,18.68,504.36,26.91,726.57,222.21,1
2024-05-02,2024.0,Jardín Express,Tulipanes,11.0,21.97,241.67,29.88,328.68,87.01,1
2025-02-04,2025.0,EcoFlores Norte,Rosas,8.0,18.53,148.24,26.84,214.72,66.48,0
2024-10-20,2024.0,Jardín Express,Girasoles,7.0,14.41,100.87,19.2,134.4,33.53,0
2024-10-06,2024.0,EcoFlores Norte,Lirios,22.0,19.0,418.0,26.46,582.12,164.12,1
2025-09-01,2025.0,Jardín Express,Girasoles,13.0,15.42,200.46,22.25,289.25,88.79,0
2024-07-16,2024.0,EcoFlores Norte,Girasoles,14.0,15.39,215.46,24.62,344.68,129.22,1
2025-05-25,2025.0,Florería Central,Orquídeas,35.0,45.34,1586.9,59.68,2088.8,501.9,2
2024-05-23,2024.0,Jardín Express,Girasoles,8.0,14.07,112.56,21.32,170.56,58.0,0
2025-08-31,2025.0,EcoFlores Norte,Lirios,23.0,16.82,386.86,23.02,529.46,142.6,1
2024-07-19,2024.0,Jardín Express,Girasoles,14.0,14.55,203.7,23.22,325.08,121.38,0
2024-05-03,2024.0,Florería Central,Orquídeas,26.0,47.38,1231.88,64.71,1682.46,450.58,2
2024-07-05,2024.0,EcoFlores Norte,Tulipanes,28.0,27.24,762.72,43.59,1220.52,457.8,1
2024-11-21,2024.0,Jardín Express,Lirios,7.0,15.82,110.74,23.79,166.53,55.79,1
2025-04-08,2025.0,Portal de las Flores,Rosas,24.0,16.59,398.16,25.46,611.04,212.88,0
2024-12-14,2024.0,Florería Central,Girasoles,36.0,13.92,501.12,19.46,700.56,199.44,1
2025-10-21,2025.0,Jardín Express,Tulipanes,15.0,24.27,364.05,41.92,628.8,264.75,1
2025-02-06,2025.0,Florería Central,Tulipanes,29.0,20.66,599.14,27.97,811.13,211.99,1
2024-12-11,2024.0,Portal de las Flores,Lirios,11.0,16.47,181.17,21.78,239.58,58.41,1
2025-05-25,2025.0,Florería Central,Girasoles,32.0,12.27,392.64,19.74,631.68,239.04,1
2024-05-26,2024.0,EcoFlores Norte,Tulipanes,18.0,20.61,370.98,33.75,607.5,236.52,1
2024-05-27,2024.0,Portal de las Flores,Girasoles,25.0,13.79,344.75,24.34,608.5,263.75,1
2025-12-11,2025.0,Florería Central,Girasoles,20.0,15.71,314.2,26.03,520.6,206.4,1
2025-05-03,2025.0,EcoFlores Norte,Orquídeas,10.0,42.26,422.6,70.12,701.2,278.6,2
2025-10-01,2025.0,EcoFlores Norte,Lirios,18.0,17.95,323.1,24.36,438.48,115.38,1
2025-07-04,2025.0,Portal de las Flores,Rosas,16.0,17.76,284.16,26.37,421.92,137.76,0
2024-12-03,2024.0,Jardín Express,Girasoles,10.0,13.6,136.0,19.86,198.6,62.6,0
2025-10-02,2025.0,Florería Central,Lirios,35.0,17.86,625.1,29.28,1024.8,399.7,1
2025-04-17,2025.0,Portal de las Flores,Girasoles,19.0,14.57,276.83,25.59,486.21,209.38,1
2025-02-18,2025.0,Florería Central,Lirios,35.0,15.17,530.95,19.81,693.35,162.4,1
2024-10-24,2024.0,Portal de las Flores,Orquídeas,15.0,42.23,633.45,65.16,977.4,343.95,2
2025-09-02,2025.0,Florería Central,Girasoles,33.0,15.33,505.89,20.45,674.85,168.96,1
2024-09-19,2024.0,Florería Central,Orquídeas,23.0,44.05,1013.15,72.09,1658.07,644.92,2
2024-05-23,2024.0,Jardín Express,Girasoles,8.0,12.85,102.8,19.17,153.36,50.56,0
2024-12-11,2024.0,Jardín Express,Girasoles,11.0,15.75,173.25,23.87,262.57,89.32,0
2025-09-15,2025.0,EcoFlores Norte,Lirios,17.0,17.13,291.21,26.65,453.05,161.84,1
2025-07-25,2025.0,EcoFlores Norte,Tulipanes,16.0,21.43,342.88,37.4,598.4,255.52,1
2024-01-02,2024.0,Florería Central,Lirios,36.0,16.38,589.68,21.35,768.6,178.92,1
2024-10-30,2024.0,Jardín Express,Rosas,1.0,17.51,17.51,25.49,25.49,7.98,0
2024-09-10,2024.0,Portal de las Flores,Lirios,27.0,17.41,470.07,27.51,742.77,272.7,1
